100000,1,-script deleteAgedFiles -dir data/gdl/ -filespec *.gz,uk.co.cartesian.ascertain.jobs.extensions.server.ExtendedExternalJob,sys_delete_zip,Delete aged sql and input files files,1,N
100001,1,-script deleteAgedFiles -dir data/gdl/log/ -filespec *.log,uk.co.cartesian.ascertain.jobs.extensions.server.ExtendedExternalJob,sys_delete_log,Delete aged sqlldr log files,1,N
100002,6,-window 36 -format yyyyww -joblogs yes -from data/logs/jobs -to data/logs/archive/jobs,uk.co.cartesian.ascertain.jobs.systemjobs.LogArchiveJob,,Archive Job Logs by Month,4,N,
100200,2,-script run_missing_node_matches.pl,uk.co.cartesian.ascertain.jobs.extensions.server.ExtendedExternalJob,,Run Missing Node Matches,35003,N,
138040,6,-threads 1,uk.co.cartesian.vfi.um.job.filematching.LateFileProcessingJob,,VFI Late File Processing,35003,N,
103010,6,-cp IMMCP -window 90,uk.co.cartesian.ascertain.jobs.actions.framework.jobs.GenericJobActionJob,,VFI Archive IM Data,1,N,
135600,6,-cp UMCP -window 90,uk.co.cartesian.ascertain.jobs.actions.framework.jobs.GenericJobActionJob,,VFI Archive UM Data,1,N,
135109,5,"-set 1,4,5,7,9",uk.co.cartesian.ascertain.um.job.MaterializedViewJob,,Run the Materialized View Jobs for each of the sets relevant to VFI-UM,2,N,
100021,6,-cp JOBSCP -window 90,uk.co.cartesian.ascertain.jobs.actions.framework.jobs.GenericJobActionJob,,VFI Archive Operational Data,1,N,
100120,1,-script updateAggregatorStatus.sh,uk.co.cartesian.ascertain.jobs.extensions.server.ExtendedExternalJob,updateAggStatus,Update the Aggregator Status View,1,N,
140000,1,-script writeTaskFile,uk.co.cartesian.ascertain.jobs.extensions.server.ExtendedExternalJob,writeTask,Extract Event Detail Records,35001,N,
100300,1,-script extract_agg_ref_data.pl,uk.co.cartesian.ascertain.jobs.extensions.server.ExtendedExternalJob,,Extract Aggregator Reference Data,35001,N,
100301,1,-script merge_itc_routes.pl,uk.co.cartesian.ascertain.jobs.extensions.server.ExtendedExternalJob,,Merge Interconnect Route Data,35001,N,
100302,1,-container_id 100010,uk.co.cartesian.ascertain.ble.BleJob,,Add Source Data for MVNO & Wholesale Partners,2001,N,
100400,3,-source _UNSPECIFIED -daemon no -sample_size 4 -threads 1 -forecast_type METRIC -date_type rolling -offset 1 -metric "0" -duration 1,uk.co.cartesian.ascertain.um.job.ForecastsAndTrendsJob,,Forecast (all metrics),35004,N,
100401,6,-threads 1 -match 100000,uk.co.cartesian.ascertain.um.job.filematching.GenericFileMatchingJob,,Node Matching by Hour,35003,N,
100402,6,-threads 1 -match 100001,uk.co.cartesian.ascertain.um.job.filematching.GenericFileMatchingJob,,Node Matching by Day,35003,N,
100403,6,-threads 1 -match 100002 -offset 1,uk.co.cartesian.ascertain.um.job.filematching.GenericFileMatchingJob,,Node Matching by Day - File Metrics,35003,N,
