100001,CCN,CCN
100003,CDC1 (DS54),CDC1
100004,CDC2 (DS54),CDC2
100005,ER4,ER4
100006,ICCS,ICCS
100007,Mediation,Mediation
100008,MMSC,MMSC
100009,MSSP01 (DS28),MSSP01
100010,MSSP02 (DS28),MSSP02
100011,MSSP03 (DS28),MSSP03
100012,MSSP04 (DS28),MSSP04
100013,NGME,NGME
100014,ROBIGA,ROBIGA
100015,HPS2 (DS8),HPS2
100016,HPS3 (DS8),HPS3
100017,S680SMR1 (DS8),S680SMR1
100018,S680SMR2 (DS8),S680SMR2
100019,S706SMR1 (DS8),S706SMR1
100020,S706SMR2 (DS8),S706SMR2
100021,Syniverse,Syniverse
100022,EMM,EMM
100023,PGW,PGW
100024,SGW,SGW
100025,SGSN,SGSN
100030,MR1CDC1 (DS73),MR1CDC1
100031,MR2CDC1 (DS73),MR2CDC1
100032,MR3CWT1 (DS73),MR3CWT1
100033,MR4CWT1 (DS73),MR4CWT1
100034,MSSP001 (DS74),MSSP001
100035,MSSP002 (DS74),MSSP002
100036,MSSP003 (DS74),MSSP003
100037,MSSP004 (DS74),MSSP004
100038,MM4 (DS75),MM4
100039,DWF,DWF
100040,680MSS1-Blade-00 (DS28),680MSS1-Blade-00
100041,680MSS1-Blade-01 (DS28),680MSS1-Blade-01
100042,680MSS1-Blade-02 (DS28),680MSS1-Blade-02
100043,680MSS1-Blade-03 (DS28),680MSS1-Blade-03
100044,680MSS1-Blade-04 (DS28),680MSS1-Blade-04
100045,680MSS1-Blade-91 (DS28),680MSS1-Blade-91
100046,706MSS1-Blade-00 (DS28),706MSS1-Blade-00
100047,706MSS1-Blade-01 (DS28),706MSS1-Blade-01
100048,706MSS1-Blade-02 (DS28),706MSS1-Blade-02
100049,706MSS1-Blade-03 (DS28),706MSS1-Blade-03
100050,706MSS1-Blade-04 (DS28),706MSS1-Blade-04
100051,706MSS1-Blade-91 (DS28),706MSS1-Blade-91
100060,680MSS1-Blade-00 (DS74),680MSS1-Blade-00
100061,680MSS1-Blade-01 (DS74),680MSS1-Blade-01
100062,680MSS1-Blade-02 (DS74),680MSS1-Blade-02
100063,680MSS1-Blade-03 (DS74),680MSS1-Blade-03
100064,680MSS1-Blade-04 (DS74),680MSS1-Blade-04
100065,680MSS1-Blade-91 (DS74),680MSS1-Blade-91
100066,706MSS1-Blade-00 (DS74),706MSS1-Blade-00
100067,706MSS1-Blade-01 (DS74),706MSS1-Blade-01
100068,706MSS1-Blade-02 (DS74),706MSS1-Blade-02
100069,706MSS1-Blade-03 (DS74),706MSS1-Blade-03
100070,706MSS1-Blade-04 (DS74),706MSS1-Blade-04
100071,706MSS1-Blade-91 (DS74),706MSS1-Blade-91
100082,Eircom,Eircom
100083,BT,BT
100084,C&W,C&W
100085,VOIP,VOIP
100100,MVNO Partners,MVNO Partners
100101,Wholesale Partners,WHolesale Partners
100090,CCS AMA,CCS AMA
